# _tick,_time,step,pg_loss,value_loss,dist_entropy,train:mean_episode_return,train:median_episode_return,test:mean_episode_return,test:median_episode_return,train_eval:mean_episode_return,train_eval:median_episode_return,sps,train:success_rate,train_eval:success_rate,test:success_rate
0,1624815439.360652,16384,-0.002095861350729441,0.7585082799196243,1.9428855429093044,0.174125,0.0,0.050499998,0.0,0.0595,0.0,5010.796781240832,0.2,0.1,0.1
1,1624815990.7614033,1654784,-0.008813382388325408,0.3063177751998107,1.4833020468552907,0.86275005,0.94937503,0.325625,0.21875,0.30325,0.0,2937.7996691682924,1.0,0.4,0.5
2,1624816590.1044157,3293184,-0.003960874843566368,0.25158149811128777,1.0826899756987889,0.79987496,0.92125,0.18425,0.0,0.17074999,0.0,2751.000113900246,0.9,0.2,0.2
3,1624817169.2894137,4931584,-0.0021763108864737055,0.38862670337160427,1.287552018960317,0.55675,0.656875,0.117875,0.0,0.399875,0.168125,2815.1882887791053,1.0,0.5,0.2
4,1624817641.762534,6569984,0.0011579570127651095,0.22809349310894808,0.5855817149082819,0.548,0.6175,0.3055,0.0,0.28525,0.0,3467.898311157626,0.8,0.4,0.4
5,1624818202.2835095,8208384,-0.006270702947707226,0.026988182915374637,1.1541070888439815,0.876375,0.9775,0.138,0.0,0.306625,0.0,2942.0169179550144,0.9,0.4,0.3
6,1624818904.7348819,9846784,0.0026861812996988497,0.13827982731163502,1.3809375663598378,0.0,0.0,0.09775,0.0,0.271875,0.0,2329.420405013421,0.0,0.3,0.1
7,1624819840.0953584,11485184,-0.0042000927302675945,0.014829110237769783,1.138846625884374,0.9775001,0.9775,0.048249997,0.0,0.544875,0.7975,1750.2292286681686,1.0,0.6,0.1
8,1624820516.654207,13123584,-0.0033753446380918226,0.015176725263396898,1.1339894483486812,0.9775001,0.9775,0.313375,0.0,0.23362501,0.0,2401.630096890972,1.0,0.3,0.4
9,1624821500.7460725,14761984,-0.0021505109034478664,0.16815443088610968,1.021985334654649,0.679375,0.735625,0.091000006,0.0,0.091000006,0.0,1670.2241849887514,1.0,0.1,0.1
10,1624822252.3484442,16400384,-0.003684415229751418,0.011016417236533016,0.9690059969822565,0.960625,0.9775,0.187625,0.0,0.533625,0.83124995,2187.315583409043,1.0,0.6,0.2
11,1624823296.2420554,18038784,-0.0013116601815757651,0.024559554721539218,0.8116942668954531,0.9583751,0.96625,0.247125,0.0,0.478625,0.471875,1567.2521944688342,1.0,0.5,0.3
12,1624823981.931652,19677184,-0.016477224805081885,0.08966111081341903,1.024386500318845,0.86499995,0.87625,0.18875,0.0,0.61212504,0.76937497,2392.3978988412714,1.0,0.8,0.2
13,1624824875.00074,21315584,-0.0070674222079105675,0.1353974724188447,0.9627472336093584,0.70075,0.71875,0.2685,0.0,0.55725,0.848125,1833.9436842162286,1.0,0.6,0.3
14,1624825894.3480165,22953984,-0.003704395960085094,0.01267777142735819,0.8293502827485403,0.83462507,0.96625,0.0,0.0,0.566125,0.65125,1605.4806474101515,1.0,0.7,0.0
15,1624826844.0412796,24592384,-0.008452140066462258,0.04407243632401029,0.8608529095848402,0.691875,0.791875,0.098875,0.0,0.60325,0.89875,1727.2622372307108,0.9,0.7,0.1
16,1624827217.3110697,24985600,-0.002167375680680076,0.02075509470887482,0.8467852224906286,0.9673751,0.96625,0.09775,0.0,0.378625,0.0,6521.533164766858,1.0,0.4,0.1
