# _tick,_time,step,pg_loss,value_loss,dist_entropy,train:mean_episode_return,train:median_episode_return,test:mean_episode_return,test:median_episode_return,train_eval:mean_episode_return,train_eval:median_episode_return,sps,train:success_rate,train_eval:success_rate,test:success_rate
0,1624863582.9789965,1654784,-0.0010610762595509489,0.0003499416604123932,1.8930081178744633,0.0,0.0,0.0,0.0,0.0,0.0,7811.202346212488,0.0,0.0,0.0
1,1624863820.8642957,3293184,-0.0023529596898394325,0.35147030154863995,1.529434432586034,0.15489796,0.0,0.034566328,0.0,0.0,0.0,6910.368862995183,0.3,0.0,0.1
2,1624864056.9746137,4931584,-0.0015604956715833396,0.36557189126809436,1.3428374777237575,0.2847704,0.35829082,0.19002551,0.0,0.11987245,0.0,6878.002947405986,0.6,0.2,0.3
3,1624864292.8525045,6569984,-0.0007451449831326803,0.3131048108140628,1.3890069425106049,0.012755102,0.0,0.10494898,0.0,0.17785713,0.0,6858.7508257786185,0.1,0.3,0.2
4,1624864526.188842,8208384,-0.003393642963298286,0.2966874794413646,1.3808701088031132,0.1665051,0.0,0.28890306,0.25267857,0.22288266,0.103954084,6956.150774160554,0.4,0.5,0.6
5,1624864759.0974572,9846784,-0.004201184162714829,0.47991495331128436,1.358762338757515,0.61150515,0.74285716,0.14446428,0.0,0.2735204,0.16543368,7067.551568626859,0.8,0.6,0.4
6,1624864993.3154747,11485184,-0.004397773145077129,0.07948288569847743,1.0867449293533962,0.63563776,0.6406888,0.56558675,0.8243623,0.6533164,0.70612246,6826.391989369179,1.0,1.0,0.8
7,1624865249.472522,13123584,-0.004445091219774137,0.1867995597422123,1.2205110291639965,0.6650256,0.66364795,0.7164541,0.7933673,0.7435459,0.7727041,6520.2413235137665,1.0,1.0,1.0
8,1624865496.407716,14761984,-0.006653278425801545,0.06018890719860792,1.1795867880185444,0.73206633,0.7681123,0.6371173,0.76581633,0.77660716,0.8404337,6540.178123922423,1.0,1.0,0.9
9,1624865766.1580718,16400384,-0.0029476137133315206,0.014642537222243845,0.9491435065865517,0.64482147,0.64183676,0.68428576,0.8484694,0.8613265,0.8852041,6047.764161894323,1.0,1.0,0.8
10,1624866051.7002668,18038784,-0.01290266471914947,0.004213848422902326,0.6115129515528679,0.91344386,0.91849494,0.7685715,0.8255102,0.88015306,0.88176024,5682.237675704105,1.0,1.0,1.0
11,1624866346.737302,19677184,0.0015907868510112166,1.2751617034276326,0.5035224171976248,0.5140306,0.70153064,0.81045914,0.9024235,0.83698976,0.86913264,5628.379605218864,0.7,1.0,0.9
12,1624866635.9302106,21315584,-0.0010587531918038924,0.033545263460837305,0.5594968944787979,0.91482145,0.91849494,0.89806116,0.9093112,0.8895663,0.8932398,5645.069751946386,1.0,1.0,1.0
13,1624866907.034244,22953984,-0.0038325207230324545,0.09284585776428382,0.8584295014540354,0.66709185,0.69464284,0.7807399,0.8852041,0.8840561,0.8943877,6026.97994410762,1.0,1.0,1.0
14,1624867169.323311,24592384,-0.006397431037233521,0.15228357103963694,0.9234612385431925,0.58431125,0.5844388,0.6858929,0.83125,0.89392865,0.90471935,6280.888812382055,0.9,1.0,0.8
15,1624867354.1850028,24985600,-0.004873565630987287,0.013711166335269809,0.6170580983161926,0.86913264,0.90471935,0.8019643,0.8897959,0.88979596,0.88176024,18929.59356078452,1.0,1.0,0.9
