# _tick,_time,step,pg_loss,value_loss,dist_entropy,train:mean_episode_return,train:median_episode_return,test:mean_episode_return,test:median_episode_return,train_eval:mean_episode_return,train_eval:median_episode_return,sps,train:success_rate,train_eval:success_rate,test:success_rate
0,1624865235.4127223,1654784,-0.0007992382743395865,3.1768225729441234e-05,1.9193997581799824,0.0,0.0,0.0,0.0,0.0,0.0,7787.09518906392,0.0,0.0,0.0
1,1624865475.020004,3293184,-0.0018985702966650326,0.0006218756971065886,1.82987080514431,0.0,0.0,0.0,0.0,0.0,0.0,6869.076564507538,0.0,0.0,0.0
2,1624865711.0278718,4931584,-0.0025747599623476467,0.003769725173090895,1.7524034529924393,0.0,0.0,0.0,0.0,0.0,0.0,6923.8144278041555,0.0,0.0,0.0
3,1624865946.5067601,6569984,-0.003073342590748022,0.3361266019443671,1.410856584707896,0.39890307,0.47767857,0.16270408,0.0,0.06579082,0.0,6952.887636102281,0.8,0.1,0.3
4,1624866185.3656638,8208384,-0.002511835346619288,0.19661420583724976,1.4044574598471324,0.15423469,0.0809949,0.038010202,0.0,0.15339287,0.0,6821.0936559336515,0.5,0.2,0.1
5,1624866421.8088012,9846784,-0.0027619926646972695,0.3563710389037927,1.3062542825937271,0.27732143,0.23660715,0.1769643,0.07410714,0.19994898,0.17117348,6997.3283578515,0.7,0.7,0.5
6,1624866656.5811384,11485184,-0.0031931099753516414,0.2455689956744512,1.2674100697040558,0.50061226,0.58673465,0.48086733,0.59132653,0.60785717,0.7543367,6769.8439325440395,0.8,1.0,0.8
7,1624866907.899683,13123584,-0.007038155298990508,0.043034417865177,1.0567845205465953,0.7669643,0.77270406,0.5709949,0.66020405,0.7192092,0.7623725,6539.3469181892615,1.0,1.0,0.9
8,1624867156.6073186,14761984,-0.003834187111351639,0.04757602233439684,0.9198106626669565,0.77454084,0.8209184,0.72150505,0.775,0.7689031,0.8565051,6566.552063590148,1.0,0.9,1.0
9,1624867424.6337957,16400384,-0.007308530495114003,0.006992537392458568,0.6787710040807724,0.8714286,0.8932398,0.6952041,0.86339283,0.82022965,0.8519133,6109.865637011324,1.0,1.0,0.9
10,1624867704.8885543,18038784,0.001525937890013059,0.04432345678408941,0.615110456943512,0.780051,0.83584183,0.75306123,0.86913264,0.8799235,0.87602043,5810.974735642954,1.0,1.0,0.9
11,1624867997.3982131,19677184,-0.0008324953960254788,0.02996101106206576,0.5156316086649895,0.9214796,0.9276786,0.8613266,0.85535717,0.8773979,0.87487245,5600.544917141532,1.0,1.0,1.0
12,1624868281.448864,21315584,-0.003930402570404112,0.04670154023915529,0.6002951761086782,0.88290817,0.88290817,0.8056377,0.90586734,0.8909439,0.88750005,5763.620135154729,1.0,1.0,0.9
13,1624868576.8489366,22953984,-0.002026686464281132,0.03304583105879525,0.6032784581184387,0.8666072,0.8725765,0.81711733,0.9012755,0.8627041,0.91160715,5557.562147761233,1.0,1.0,0.9
14,1624868868.7602892,24592384,-0.004017492465209216,0.176918754975001,0.6019107898076376,0.8477806,0.8507653,0.8190816,0.87602043,0.8310205,0.8875,5616.791240455257,1.0,1.0,1.0
15,1624869108.1599452,24985600,-0.004443868393233667,0.2004854828119278,0.5525291835268339,0.9400765,0.9403061,0.7183929,0.7853316,0.825051,0.8404337,21436.327963185355,1.0,1.0,0.9
