# _tick,_time,step,pg_loss,value_loss,dist_entropy,train:mean_episode_return,train:median_episode_return,test:mean_episode_return,test:median_episode_return,train_eval:mean_episode_return,train_eval:median_episode_return,sps,train:success_rate,train_eval:success_rate,test:success_rate
0,1624901846.7595727,16384,-0.0020958665700163692,0.7585082650184631,1.9428855528434117,0.174125,0.0,0.11224999,0.0,0.204375,0.0,4882.825624162165,0.2,0.3,0.2
1,1624902406.7285914,1654784,-0.004639963871644189,0.29710526888569194,1.2895170251528423,0.736875,0.82,0.22687502,0.0,0.446,0.3875,2984.0046803883592,0.9,0.5,0.3
2,1624903022.4931078,3293184,-0.0024932760861702263,0.22992798003057638,0.9822543263435364,0.65925,0.7525,0.094375,0.0,0.255,0.0,2620.284591146923,0.9,0.3,0.1
3,1624903601.218161,4931584,-0.0052472470367016895,0.5057815598944823,1.4286463210980098,0.9741251,0.9775,0.0,0.0,0.34375,0.0,2868.925306938367,1.0,0.4,0.0
4,1624904185.255806,6569984,-0.005953471874818206,0.2135833396265904,1.1037105172872543,0.693125,0.87625,0.155,0.0,0.2865,0.0,2805.6003844682327,0.8,0.3,0.2
5,1624904747.5996618,8208384,-0.006593687566540514,0.2754276612152656,1.0706894199053447,0.61412495,0.67375004,0.083125,0.0,0.43137497,0.348125,2895.7653586475735,1.0,0.5,0.1
6,1624905388.1021779,9846784,-0.00434790994040668,0.1285504118228952,0.9989419008294741,0.66025007,0.7075,0.174125,0.0,0.1955,0.0,2561.7145207268873,1.0,0.2,0.2
7,1624906039.7012012,11485184,-0.0033982025537018976,0.03134847339242697,1.0074469074606895,0.68425,0.9775,0.18087499,0.0,0.44712502,0.41,2524.77526951887,0.7,0.5,0.2
8,1624906830.7722585,13123584,-0.007545293172976623,0.293714702129364,1.136686697602272,0.64125,0.735625,0.0325,0.0,0.285375,0.0,2072.7297704097255,0.9,0.3,0.1
9,1624907538.6090703,14761984,-0.00011905816306049626,0.17063821603854498,1.1056541750828426,0.39049998,0.3475,0.082,0.0,0.415625,0.168125,2312.1631786861044,0.8,0.5,0.1
10,1624908365.255879,16400384,-0.0021829231603381536,0.01796232881800582,0.7696419954299927,0.84937507,0.94375,0.347125,0.0,0.31,0.0,1979.1764549352597,0.9,0.4,0.4
11,1624909144.2257886,18038784,-0.00663766903259481,0.033456722274422646,0.8282841692368189,0.922375,0.9325,0.065125,0.0,0.4415,0.32,2090.06794626029,1.0,0.5,0.1
12,1624909860.4221747,19677184,-0.011451901188896349,0.1054968632136782,0.9374501332640648,0.84362495,0.85375,0.089875,0.0,0.550375,0.690625,2279.129696957098,1.0,0.7,0.1
13,1624910702.7367616,21315584,-0.00508858715572084,0.007215513537327449,0.7195818722248077,0.929125,0.9325,0.17975,0.0,0.602125,0.92125,1967.929646526078,1.0,0.7,0.2
14,1624911598.792731,22953984,-0.0036208672681823373,0.024701089093772072,0.8511045475800832,0.9685,0.96625,0.066250004,0.0,0.4415,0.404375,1811.9312265273336,1.0,0.5,0.1
15,1624912494.2597125,24592384,-0.004987703510172044,0.14635141752660275,0.6859016492962837,0.789625,0.814375,0.344875,0.0,0.39424998,0.23,1820.7289706398942,1.0,0.5,0.4
16,1624913299.0874467,26230784,-0.0010545242306155462,0.011931242246646434,0.6483946368098259,0.95500004,0.955,0.082,0.0,0.63025004,0.88187504,2052.894261171879,1.0,0.7,0.1
17,1624914124.1770098,27869184,-0.0006690868564570943,0.15555079591770968,0.608845683435599,0.95612496,0.955,0.063999996,0.0,0.43925,0.393125,1990.5543679559462,1.0,0.5,0.1
18,1624914972.0324218,29507584,-0.005113259219797328,0.14419377781450748,0.6546113813916842,0.61100006,0.74125,0.3595,0.0,0.68399996,0.82,1916.9412218672924,0.8,0.9,0.4
19,1624915910.7389774,31145984,-0.0022635270142927766,0.0057227246967765195,0.589689331750075,0.9437501,0.94375,0.155,0.0,0.43362504,0.381875,1745.5366937115587,1.0,0.5,0.2
20,1624916743.9903097,32784384,-0.009925656820996664,0.16739795356988907,0.881662925084432,0.67387503,0.7975,0.28399998,0.06125,0.44712502,0.359375,1964.7825658131567,0.9,0.5,0.5
21,1624917614.611733,34422784,-0.010425669247827804,0.1394399031996727,0.7722803850968679,0.82,0.825625,0.0,0.0,0.583,0.865,1879.4715529824011,1.0,0.7,0.0
22,1624918333.3647969,36061184,-0.0027537572120005884,0.20942840725183487,0.4751070650915305,0.94037503,0.94375,0.0,0.0,0.43925,0.348125,2288.1754575777018,1.0,0.5,0.0
23,1624919217.0402617,37699584,-0.007450724641482036,0.008333774593969187,0.622985248764356,0.946,0.955,0.065125,0.0,0.538125,0.81437504,1846.8044167457872,1.0,0.6,0.1
24,1624920177.8640513,39337984,-0.004386860993690789,0.008268945559393615,0.3950863666832447,0.88637507,0.8875,0.131375,0.0,0.6415,0.88750005,1714.2032971262972,1.0,0.7,0.2
25,1624921677.9036674,40976384,-0.001609710433209936,0.01464152270151923,0.5364847742021084,0.81000006,0.904375,0.038125,0.0,0.60662496,0.865,1091.9863925012135,0.9,0.7,0.1
26,1624922773.2641673,42614784,-0.0043768854811787605,0.009858761972282082,0.6703669553001722,0.869625,0.96625,0.169625,0.0,0.7099999,0.94937503,1495.6007753925348,0.9,0.8,0.2
27,1624924013.8895388,44253184,-0.008477165615962198,0.04231821450715264,0.6045649920900663,0.7875,0.865,0.13475001,0.0,0.9133751,0.960625,1324.267835776232,0.9,1.0,0.2
28,1624925404.356518,45891584,-0.0016044801644360025,0.00757399385717387,0.6148309633135796,0.951625,0.955,0.042625003,0.0,0.72125,0.904375,1183.9350312210372,1.0,0.8,0.1
29,1624926774.1437507,47529984,-0.004822554260802765,0.10330604389309883,0.43723641460140544,0.61875004,0.713125,0.013375001,0.0,0.62225,0.803125,1193.8930068046702,0.9,0.8,0.1
30,1624927706.2923262,49168384,-0.005776980173929284,0.017981878365390003,0.4447117696205775,0.84587497,0.848125,0.0,0.0,0.6595,0.9325,1748.4371825400283,1.0,0.7,0.0
31,1624929042.997889,50806784,-0.0035772808090162775,0.0063598622315718485,0.6205139507850012,0.96625006,0.96625,0.202125,0.0,0.63025,0.8425,1222.630465120527,1.0,0.7,0.3
32,1624930518.7881851,52445184,0.002101520794288566,0.19707537069916725,0.58555951466163,0.0,0.0,0.0,0.0,0.50100005,0.735625,1117.315812322749,0.0,0.6,0.0
