# _tick,_time,step,pg_loss,value_loss,dist_entropy,train:mean_episode_return,train:median_episode_return,test:mean_episode_return,test:median_episode_return,train_eval:mean_episode_return,train_eval:median_episode_return,sps,train:success_rate,train_eval:success_rate,test:success_rate
0,1624903293.7833407,1654784,-0.0018586944982719917,4.107407600410321e-05,1.8345468292633693,0.0,0.0,0.0,0.0,0.0,0.0,5719.204712029324,0.0,0.0,0.0
1,1624903618.2592936,3293184,-0.001979956403374672,6.208676995811402e-05,1.8863576302925746,0.0,0.0,0.0,0.0,0.0,0.0,4883.032711143311,0.0,0.0,0.0
2,1624903951.00697,4931584,-0.002523031046924492,4.72105839435244e-05,1.8153761724630992,0.0,0.0,0.0,0.0,0.0,0.0,5224.613254590045,0.0,0.0,0.0
3,1624904277.0802372,6569984,-0.0010033936996478587,0.029019795067142695,1.8091901739438374,0.029744899,0.0,0.0,0.0,0.0,0.0,4844.067828674351,0.1,0.0,0.0
4,1624904604.1755507,8208384,-0.0023383678247531257,2.0171109023673733e-05,1.5223222623268764,0.0,0.0,0.0,0.0,0.0,0.0,4958.113506498384,0.0,0.0,0.0
5,1624904931.840134,9846784,-0.0013463028396169345,7.83719567228521e-06,1.7130277852217357,0.0,0.0,0.0,0.0,0.0,0.0,5065.554213932179,0.0,0.0,0.0
6,1624905264.1693099,11485184,-0.002522360455865661,2.3877785224613035e-06,1.7799109021822612,0.0,0.0,0.0,0.0,0.0,0.0,4959.485651358416,0.0,0.0,0.0
7,1624905589.568671,13123584,-0.002033323689829558,1.084345010819258e-06,1.7274887909491856,0.0,0.0,0.0,0.0,0.0,0.0,5046.9557293524695,0.0,0.0,0.0
8,1624905915.713518,14761984,-0.0019610095963192484,2.129753956599719e-06,1.7428776919841766,0.0,0.0,0.0,0.0,0.0,0.0,4943.5551176516665,0.0,0.0,0.0
9,1624906243.1524422,16400384,-0.0025151464312026897,3.99221527421408e-06,1.6305917799472809,0.0,0.0,0.0,0.0,0.0,0.0,5170.498312857335,0.0,0.0,0.0
10,1624906572.8690233,18038784,-0.0025060523475985974,1.8099941883065185e-06,1.563562552134196,0.0,0.0,0.0,0.0,0.0,0.0,4850.186104141281,0.0,0.0,0.0
11,1624906902.3554106,19677184,-0.0028892090000833073,1.0573033269641503e-06,1.5110051333904266,0.0,0.0,0.0,0.0,0.0,0.0,4978.628783683392,0.0,0.0,0.0
12,1624907224.8111038,21315584,-0.002165774543148776,3.7425506131209357e-07,1.609125018119812,0.0,0.0,0.0,0.0,0.0,0.0,5024.795436180678,0.0,0.0,0.0
13,1624907562.8122776,22953984,-0.003093818435445428,2.3704417836019804e-08,1.4433090488115947,0.0,0.0,0.0,0.0,0.0,0.0,5049.764577658754,0.0,0.0,0.0
14,1624907893.1644773,24592384,-0.0004442172357812524,8.730505326089617e-08,1.536914885044098,0.0,0.0,0.0,0.0,0.0,0.0,4929.174472862928,0.0,0.0,0.0
15,1624908228.994738,26230784,-0.003968024451751262,1.335770460908492e-08,1.4798371642827988,0.0,0.0,0.0,0.0,0.0,0.0,4910.255636752211,0.0,0.0,0.0
16,1624908562.251051,27869184,-0.0021408699782720455,2.540447981610091e-09,1.4630510956048965,0.0,0.0,0.0,0.0,0.0,0.0,4828.9828777062385,0.0,0.0,0.0
17,1624908896.9758282,29507584,-0.001839474105508998,4.459627956273267e-10,1.5401196827491124,0.0,0.0,0.0,0.0,0.0,0.0,5007.016819565174,0.0,0.0,0.0
18,1624909223.214691,31145984,-0.002219038588615755,2.658899841042247e-09,1.4725889712572098,0.0,0.0,0.0,0.0,0.0,0.0,4825.538721238237,0.0,0.0,0.0
19,1624909556.3477924,32784384,-0.002927816463246321,1.0812271374523637e-07,1.3917424082756042,0.0,0.0,0.0,0.0,0.0,0.0,5019.3375258188335,0.0,0.0,0.0
20,1624909878.653261,34422784,-0.001047524807897086,5.616653828953896e-11,1.5190635373195012,0.0,0.0,0.0,0.0,0.0,0.0,4854.820572473116,0.0,0.0,0.0
21,1624910208.071648,36061184,-0.00030090253858361393,9.961444357465635e-12,1.4621857851743698,0.0,0.0,0.0,0.0,0.0,0.0,5125.654964085192,0.0,0.0,0.0
22,1624910532.260327,37699584,-0.0018143333873013034,1.850356199280719e-10,1.410901164015134,0.0,0.0,0.0,0.0,0.0,0.0,5144.011850901437,0.0,0.0,0.0
23,1624910864.8320851,39337984,-0.0016649788400779169,1.7504250502768197e-09,1.397265096505483,0.0,0.0,0.0,0.0,0.0,0.0,4970.634844064091,0.0,0.0,0.0
24,1624911188.190715,40976384,-0.0010057598410639912,8.287023179944415e-11,1.4854403585195541,0.0,0.0,0.0,0.0,0.0,0.0,4970.498393063967,0.0,0.0,0.0
25,1624911520.1809473,42614784,-0.00131015112856403,4.848887232474416e-08,1.611547201871872,0.0,0.0,0.0,0.0,0.0,0.0,5002.325308835329,0.0,0.0,0.0
26,1624911846.930869,44253184,-0.003690369213776042,7.412086833191722e-09,1.4569653272628784,0.0,0.0,0.0,0.0,0.0,0.0,4981.368097241396,0.0,0.0,0.0
27,1624912170.8873732,45891584,-0.002421322492106507,2.0657735822863602e-10,1.4990347574154537,0.0,0.0,0.0,0.0,0.0,0.0,5059.259531622684,0.0,0.0,0.0
28,1624912492.68417,47529984,-0.0028462716145440936,5.004529422573493e-06,1.7956076512734096,0.0,0.0,0.0,0.0,0.0,0.0,5001.001757606723,0.0,0.0,0.0
29,1624912831.774705,49168384,-0.003334993642056361,2.102158151255177e-07,1.4966730525096257,0.0,0.0,0.0,0.0,0.0,0.0,4949.49297774355,0.0,0.0,0.0
30,1624913159.7235599,50806784,-0.0030218903363371887,4.268156862963224e-05,1.5395980974038441,0.0,0.0,0.0,0.0,0.0,0.0,4929.807692255688,0.0,0.0,0.0
31,1624913485.3535538,52445184,-0.0031899459718260914,1.1623840615963369e-05,1.4952115664879482,0.0,0.0,0.0,0.0,0.0,0.0,4975.824468382622,0.0,0.0,0.0
32,1624913825.051486,54083584,-0.002707061590626836,0.3851460739970207,1.3910826245943706,0.3329847,0.48227042,0.0,0.0,0.0,0.0,4908.028046054408,0.6,0.0,0.0
33,1624914157.720412,55721984,-0.003992311772890389,0.18163148748377958,1.2988997995853424,0.15604593,0.0,0.0,0.0,0.07566326,0.0,4805.972453574597,0.3,0.1,0.0
34,1624914498.4152455,57360384,-0.0013427118537947536,0.22000640134016672,1.3225213934977849,0.0,0.0,0.0,0.0,0.1632653,0.0,4867.290660807987,0.0,0.2,0.0
35,1624914824.4770517,58998784,-0.004733822075650096,1.0531564379731815,1.2503317445516586,0.83744895,0.8622449,0.0,0.0,0.0,0.0,4877.567983287935,1.0,0.0,0.0
36,1624915151.014634,60637184,-0.004636831552488729,0.563440998395284,1.3910740166902542,0.6136735,0.85535717,0.09232143,0.0,0.3420408,0.20612244,5086.2573976886,0.7,0.5,0.2
37,1624915479.4744349,62275584,-0.007751858793199062,0.27032720918456715,1.0941924452781677,0.74147964,0.7577806,0.35640305,0.45127553,0.5304592,0.6142857,4937.352400457717,1.0,0.8,0.6
38,1624915793.3256032,63913984,-0.0020600192850300423,0.5303783404330412,1.3133764664332073,0.14020409,0.0,0.39086735,0.3892857,0.5456377,0.578699,5171.210475568183,0.3,1.0,0.8
39,1624916108.4707382,65552384,-0.007802354559923212,0.29790617898106575,1.2206297119458516,0.64252555,0.6441326,0.7162245,0.73711735,0.5611224,0.6498724,5047.16388952276,1.0,0.9,1.0
40,1624916434.5183136,67190784,-0.004106107090289394,0.041985326601813235,0.9412929192185402,0.7917602,0.80140305,0.7949745,0.81862247,0.813801,0.8117347,4995.871837703683,1.0,1.0,1.0
41,1624916787.3107214,68829184,-0.008136050348790983,0.005130388560549666,0.5418872162699699,0.90012753,0.9012755,0.7273469,0.8243623,0.8601786,0.8679847,4603.9845550018235,1.0,1.0,0.9
42,1624917152.535609,70467584,-0.004934208351187408,0.030916239561823506,0.32734766726692516,0.9063266,0.91160715,0.87969387,0.8886479,0.8571938,0.8920919,4497.768371225713,1.0,1.0,1.0
43,1624917549.0855515,72105984,-0.004853313536538432,0.009335709740601791,0.35148786505063373,0.89346945,0.8897959,0.9005867,0.9012755,0.91688776,0.91849494,4115.6481331352325,1.0,1.0,1.0
44,1624917949.9741008,73744384,-0.003909908855954806,0.00043544377088740777,0.12994532193988562,0.922398,0.9265306,0.79117346,0.90012753,0.9196429,0.9219388,4073.588003357131,1.0,1.0,0.9
45,1624918354.42647,75382784,-0.0012876208444746833,0.0003046187254464409,0.05816585974146923,0.94191325,0.94719386,0.7191837,0.8920919,0.92033166,0.91619897,4043.2180368662093,1.0,1.0,0.8
46,1624918765.8919725,77021184,-0.006330263296452661,0.0012565472303928498,0.18853822288413843,0.9442092,0.94948983,0.88107145,0.91734695,0.8879592,0.91045916,4089.3272885315823,1.0,1.0,1.0
47,1624919178.975705,78659584,-0.003746897622477263,0.026670357037801296,0.13361944817006588,0.9058674,0.90586734,0.8613266,0.9219388,0.9125255,0.91964287,3892.3991768875276,1.0,1.0,1.0
48,1624919707.2167509,79986688,-0.005404768938509126,0.0015065420787626256,0.13659639687587818,0.90426016,0.91275513,0.83135206,0.9242347,0.9267602,0.9276786,4914.623243481877,1.0,1.0,0.9
