# _tick,_time,step,pg_loss,value_loss,dist_entropy,train:mean_episode_return,train:median_episode_return,test:mean_episode_return,test:median_episode_return,train_eval:mean_episode_return,train_eval:median_episode_return,sps,train:success_rate,train_eval:success_rate,test:success_rate
0,1624808482.2026992,16384,-0.0020958667737431824,0.7585082600514094,1.942885547876358,0.174125,0.0,0.050499998,0.0,0.0595,0.0,3205.731292963361,0.2,0.1,0.1
1,1624808504.6800084,32768,-0.0011505945003591478,0.8126850500702858,1.928782304128011,0.34137496,0.095,0.137,0.0,0.20987502,0.0,840.455825776449,0.5,0.4,0.2
2,1624808523.690939,49152,-0.0026365872278499105,2.0220631062984467,1.910555437207222,0.17500001,0.0,0.14825,0.0,0.25725,0.0,729.5808960335727,0.4,0.3,0.2
3,1624808543.2961943,65536,-0.00340821446540455,5.502870837847392,1.899912898739179,0.64925003,0.825625,0.074,0.0,0.182,0.0,830.6784435233399,0.8,0.2,0.2
4,1624808568.8201382,81920,-0.0031123876300019524,3.962193936109543,1.8887671877940495,0.48500004,0.40375,0.0,0.0,0.22462499,0.0,826.5893915269073,0.8,0.3,0.0
5,1624808640.304615,16384,-0.002095866958067442,0.7585082650184631,1.9428855429093044,0.174125,0.0,0.050499998,0.0,0.0595,0.0,3012.3362406262386,0.2,0.1,0.1
6,1624808658.2654269,32768,-0.0011506081112505246,0.8126850351691246,1.9287822842597961,0.34137496,0.095,0.09199999,0.0,0.244875,0.0,759.9979589352615,0.5,0.3,0.2
7,1624808678.3893468,49152,-0.0026366143089641505,2.0220630317926407,1.910555402437846,0.17500001,0.0,0.15825,0.0,0.25725,0.0,915.9119176765615,0.4,0.3,0.3
8,1624808702.133098,65536,-0.0034082075969005623,5.502870619297028,1.8999128937721252,0.64925003,0.825625,0.063999996,0.0,0.182,0.0,780.5826008106923,0.8,0.2,0.1
9,1624808723.8510268,81920,-0.0031123808197056255,3.962193747361501,1.8887671778599422,0.48500004,0.40375,0.0,0.0,0.22462499,0.0,684.043254287667,0.8,0.3,0.0
10,1624808744.0458467,98304,-0.0036009563967430345,4.975844323635101,1.8433214823404949,0.69525,0.78625,0.187625,0.0,0.253875,0.0,755.7565886485031,0.9,0.3,0.2
11,1624808769.44561,114688,-0.004579898920686294,4.765324930349986,1.8128885080416997,0.69525003,0.825625,0.24937502,0.0,0.267375,0.0,708.909845747251,0.9,0.3,0.3
12,1624808788.6467633,131072,-0.004089076343613367,3.5062537590662637,1.8018868019183476,0.685,0.7525,0.19424999,0.0,0.3325,0.0,718.9685930519848,1.0,0.4,0.3
13,1624808807.468837,147456,-0.0034614333126228303,3.3108226458231607,1.7740232795476913,0.582875,0.6625,0.191,0.0,0.29874998,0.0,817.9420061279785,0.8,0.4,0.2
14,1624808833.896181,163840,-0.004445071273948997,3.894664386908213,1.7066487272580464,0.801,0.9775,0.0965,0.0,0.580625,0.76374996,735.2936308520253,0.9,0.8,0.2
15,1624809397.6986022,16384,-0.0002696234732866287,0.8657574653625488,1.9458807706832886,0.174125,0.0,0.056124996,0.0,0.01,0.0,1120.0602046886595,0.2,0.1,0.1
16,1624809426.2169058,32768,-0.00020665753011902174,0.8885529041290283,1.9456462860107422,0.0775,0.0,0.07975,0.0,0.18412499,0.0,151.0793238540784,0.1,0.3,0.1
17,1624809444.5580194,49152,-0.00044468619550267857,1.7948678731918335,1.9449708064397175,0.103250004,0.0,0.18637499,0.0,0.229,0.0,577.0682092500206,0.2,0.4,0.3
18,1624809467.9107122,65536,-0.0005915015935897827,4.556391874949138,1.9441189368565877,0.532375,0.65125,0.0415,0.0,0.053875,0.0,798.8942863263828,0.7,0.1,0.1
19,1624809492.7416453,81920,-0.00041093033117552597,2.700591246287028,1.9419502814610798,0.45,0.44875,0.0,0.0,0.0,0.0,752.4290031523384,0.9,0.0,0.0
20,1624809513.4791558,98304,-0.0007508140988647938,2.5787450472513833,1.936559836069743,0.55475,0.623125,0.0,0.0,0.300875,0.066875,668.0780340492647,0.8,0.5,0.0
21,1624809534.1519434,114688,-0.0009056581960370144,2.5370640754699707,1.9294999440511067,0.55799997,0.589375,0.18525,0.0,0.221125,0.0,782.3618351007771,0.9,0.4,0.3
22,1624809557.761401,131072,-0.0010799720184877515,2.768050273259481,1.917611002922058,0.4795,0.443125,0.011125,0.0,0.22224998,0.0,778.8258165896839,0.7,0.4,0.1
23,1624809576.7565455,147456,-0.0009440708672627807,2.9384050369262695,1.9237964948018391,0.55237496,0.499375,0.030250002,0.0,0.48525,0.595,697.2006139744927,0.9,0.6,0.1
24,1624809595.8923006,163840,-0.0006913399168600639,1.594330906867981,1.9047963619232178,0.4255,0.330625,0.098875,0.0,0.202125,0.0,880.8509507780378,0.7,0.3,0.1
25,1624809619.4352357,180224,-0.0014711621139819424,2.814572016398112,1.8629686037699382,0.766,0.94375,0.45262498,0.42624998,0.2885,0.111875,738.4809568147185,1.0,0.5,0.6
26,1624809643.1458004,196608,-0.0019561139245827994,2.022037903467814,1.8402568499247234,0.87974995,0.983125,0.051625002,0.0,0.355,0.0,684.6681251843268,0.9,0.4,0.1
