# _tick,_time,step,pg_loss,value_loss,dist_entropy,train:mean_episode_return,train:median_episode_return,test:mean_episode_return,test:median_episode_return,train_eval:mean_episode_return,train_eval:median_episode_return,sps,train:success_rate,train_eval:success_rate,test:success_rate
0,1624812373.038233,16384,-0.0009739406717320284,0.7905720422665278,1.9449837605158489,0.540375,0.803125,0.2795,0.08375,0.14037499,0.0,4949.717141010725,0.6,0.2,0.5
1,1624812651.4377577,1654784,-0.0016274864319711924,0.20405710861086845,1.6697505662838619,0.21675,0.0,0.4055,0.269375,0.3245,0.0725,5770.8195706670485,0.3,0.5,0.5
2,1624812931.4246387,3293184,-0.002839928725734353,0.2249897470076879,1.741354763507843,0.22225001,0.0,0.28087503,0.0,0.23924999,0.0,5921.611152763373,0.4,0.3,0.3
3,1624813210.9420907,4931584,-0.001402985459814469,0.27287654764950275,1.7450505395730336,0.093125,0.0,0.222375,0.0,0.439125,0.60625005,5821.110562947087,0.2,0.6,0.3
4,1624813491.8765025,6569984,-0.002854744302264104,0.3224436417222023,1.739489495754242,0.42125002,0.336875,0.33812502,0.0,0.26837498,0.0,5858.298227955915,0.5,0.4,0.4
5,1624813773.7336586,8208384,-0.004346287091417859,0.22173202534516653,1.7524610211451848,0.229,0.0,0.104375005,0.0,0.35937497,0.1175,5835.258641385463,0.4,0.5,0.2
6,1624814053.8936863,9846784,-0.003753324349721273,0.2705287368347247,1.7550216068824132,0.35825002,0.156875,0.0,0.0,0.378375,0.35875,5782.646622464702,0.5,0.6,0.0
7,1624814341.2089396,11485184,-0.004573390537795301,0.3201023464401563,1.7633006970087688,0.217875,0.0,0.20987499,0.0,0.288625,0.0,5805.756272066628,0.3,0.4,0.4
8,1624814622.995913,13123584,-0.003652044183885058,0.36404434964060783,1.7410302460193634,0.319,0.0,0.056124996,0.0,0.397625,0.235625,5690.427531632157,0.4,0.5,0.1
9,1624814916.5256002,14761984,-0.004703831994750847,0.21195458869139353,1.742497404416402,0.583,0.76937497,0.041375,0.0,0.397625,0.269375,5734.064064622029,0.7,0.5,0.2
10,1624815215.1302671,16400384,-0.004307843667144577,0.28901235697170097,1.709425449371338,0.228,0.0,0.0,0.0,0.52575004,0.73,5520.729133884767,0.3,0.6,0.0
11,1624815516.299894,18038784,-0.0030442681163549423,0.24951830444236597,1.6827039420604706,0.41,0.3425,0.220125,0.0,0.33025,0.0,5437.7776946776485,0.5,0.4,0.3
12,1624815818.0441945,19677184,-0.004292788488479952,0.15261193830519915,1.7030980437994003,0.522375,0.775,0.158375,0.0,0.656125,0.926875,5394.341552618633,0.6,0.7,0.2
13,1624816121.8280082,21315584,-0.0039649954802977545,0.19815335609018803,1.7114418645699818,0.777375,0.87625,0.242625,0.0,0.639125,0.73,5379.138854458678,0.9,0.8,0.3
14,1624816433.7872887,22953984,-0.003916292199088882,0.13161764138688645,1.690658375620842,0.579625,0.791875,0.123500004,0.0,0.64137506,0.791875,5272.822088079788,0.7,0.8,0.2
15,1624816750.1793103,24592384,-0.004786371408651273,0.23971378803253174,1.666062797109286,0.21225,0.0,0.08875,0.0,0.51,0.74125004,5232.106329217272,0.3,0.6,0.1
16,1624816974.1905756,24985600,-0.004360903985798359,0.2010517387340466,1.6589503486951191,0.183,0.0,0.0,0.0,0.272875,0.0,17559.9932578524,0.3,0.4,0.0
