# _tick,_time,step,pg_loss,value_loss,dist_entropy,train:mean_episode_return,train:median_episode_return,test:mean_episode_return,test:median_episode_return,train_eval:mean_episode_return,train_eval:median_episode_return,sps,train:success_rate,train_eval:success_rate,test:success_rate
0,1624864938.2539942,1654784,-0.002453367613876859,7.535401649268654e-05,1.8286456018686295,0.0,0.0,0.030204082,0.0,0.0,0.0,6424.483787380822,0.0,0.0,0.1
1,1624865225.1256905,3293184,-0.0014390690485015512,0.00013052909162070137,1.8015979329744976,0.0,0.0,0.0,0.0,0.0,0.0,5707.97959624235,0.0,0.0,0.0
2,1624865517.3290603,4931584,-0.0018548463704064488,0.00013391435610780414,1.7371535003185272,0.0,0.0,0.0,0.0,0.0,0.0,5732.967153230153,0.0,0.0,0.0
3,1624865805.1843956,6569984,-0.003405735760073488,0.0013541288838799421,1.7390213459730148,0.0,0.0,0.03869898,0.0,0.0,0.0,5622.638881579464,0.0,0.0,0.1
4,1624866087.5994742,8208384,-0.0030621521679374077,0.30720022320747375,1.6187637001276016,0.22229593,0.0,0.031581633,0.0,0.09048469,0.0,5708.722862881663,0.4,0.2,0.1
5,1624866366.2777457,9846784,-0.002906488662119955,0.14856515234957138,1.3728309522072475,0.49007654,0.4742347,0.4731888,0.55688775,0.45020407,0.5442602,5738.261585042299,1.0,0.7,0.9
6,1624866649.7741172,11485184,-0.0032046945998445153,0.01066931476816535,0.9293690944711367,0.8422704,0.85535717,0.8535204,0.85535717,0.81977046,0.87946427,5633.119399596246,1.0,1.0,1.0
7,1624866975.964382,13123584,-0.0009253991787166645,0.02934492133014525,0.42896447082360584,0.9171174,0.92308676,0.7932398,0.9012755,0.9044898,0.9024235,5027.745514603174,1.0,1.0,0.9
8,1624867322.7893915,14761984,0.00047654279236060876,0.05209697581206759,0.2129906372477611,0.92698985,0.9276786,0.85237247,0.91734695,0.904949,0.91160715,4715.715957428467,1.0,1.0,1.0
9,1624867673.767957,16400384,-0.004078151076100767,0.15597296102593342,0.29071568449338275,0.9320408,0.9288265,0.91045916,0.9219388,0.9327296,0.94260204,4649.4139710842055,1.0,1.0,1.0
10,1624868028.8309107,18038784,-0.00020965421572327614,0.07433715043589473,0.26221400561432046,0.934796,0.9334184,0.835255,0.92997444,0.8778571,0.94145405,4667.359799513563,1.0,1.0,0.9
11,1624868380.7045193,19677184,0.0012801241246052086,0.03194738381231824,0.20471101316312948,0.94581634,0.94948983,0.7226275,0.9070153,0.933648,0.9357143,4665.954943922854,1.0,1.0,0.8
12,1624868728.0782607,21315584,-0.003808445510609696,0.045222407362113394,0.2146103773266077,0.83823985,0.9345664,0.9015051,0.91619897,0.915051,0.9311224,4644.980379199576,0.9,1.0,1.0
13,1624869089.5288892,22953984,0.0006421816360671073,0.006251964795713623,0.11754317209124565,0.94306123,0.94260204,0.88038266,0.9288265,0.9302041,0.9345663,4561.510685135042,1.0,1.0,1.0
14,1624869443.7083032,24592384,-0.0005736809495526055,0.05987759229416648,0.16691898119946322,0.94260204,0.94260204,0.7994388,0.89897954,0.8865816,0.9391582,4555.475167128909,1.0,1.0,0.9
15,1624869741.591287,24985600,0.0008684506562228004,0.034150415022547044,0.10992481342206399,0.94168377,0.9391582,0.9393878,0.94489795,0.9350256,0.9357143,16943.728315368175,1.0,1.0,1.0
