# _tick,_time,step,pg_loss,value_loss,dist_entropy,train:mean_episode_return,train:median_episode_return,test:mean_episode_return,test:median_episode_return,train_eval:mean_episode_return,train_eval:median_episode_return,sps,train:success_rate,train_eval:success_rate,test:success_rate
0,1624872824.5292482,1654784,-0.0013739685333954792,0.00014617720929284891,1.7719621807336807,0.0,0.0,0.0,0.0,0.0,0.0,6376.403505554563,0.0,0.0,0.0
1,1624873115.450788,3293184,-0.0013605669761697452,4.70689242320077e-05,1.76340418557326,0.0,0.0,0.0,0.0,0.0,0.0,5597.778772668417,0.0,0.0,0.0
2,1624873404.7862053,4931584,-0.002360550764327248,3.0443163116918488e-05,1.7138264626264572,0.0,0.0,0.0,0.0,0.0,0.0,5659.607428509703,0.0,0.0,0.0
3,1624873697.3290498,6569984,-0.0018233638644839327,1.2538228437127449e-05,1.6683154006799061,0.0,0.0,0.0,0.0,0.0,0.0,5672.273498084167,0.0,0.0,0.0
4,1624873987.3739116,8208384,-0.001706302185387661,1.0807189407084175e-05,1.717453474799792,0.0,0.0,0.0,0.0,0.0,0.0,5601.933647395192,0.0,0.0,0.0
5,1624874275.680679,9846784,-0.00446190545335412,4.840208175001711e-07,1.6303409884373348,0.0,0.0,0.0,0.0,0.0,0.0,5650.788062245752,0.0,0.0,0.0
6,1624874571.1278837,11485184,-0.003247286134865135,5.949073914971829e-08,1.67538587252299,0.0,0.0,0.0,0.0,0.0,0.0,5667.738440362064,0.0,0.0,0.0
7,1624874862.079259,13123584,-0.002240974543383345,2.6326837835692157e-07,1.6964667638142903,0.0,0.0,0.0,0.0,0.0,0.0,5545.804338233344,0.0,0.0,0.0
8,1624875152.3472302,14761984,-0.0028714852523989975,2.3810363517876945e-07,1.6580393711725872,0.0,0.0,0.0,0.0,0.0,0.0,5635.375918262295,0.0,0.0,0.0
9,1624875444.1854656,16400384,-0.001993851692532189,5.130353386562092e-08,1.6151518821716309,0.0,0.0,0.0,0.0,0.0,0.0,5635.823365296737,0.0,0.0,0.0
10,1624875743.3407218,18038784,-0.002517936557220916,4.661491873984384e-08,1.5647009015083313,0.0,0.0,0.0,0.0,0.0,0.0,5482.482234306654,0.0,0.0,0.0
11,1624876037.812192,19677184,-0.002781883279870575,1.5671057514987652e-06,1.5544020881255467,0.0,0.0,0.0,0.0,0.0,0.0,5611.548854481469,0.0,0.0,0.0
12,1624876331.471195,21315584,-0.002806970189946393,3.059396957993954e-08,1.5495298753182094,0.0,0.0,0.0,0.0,0.0,0.0,5555.506778987985,0.0,0.0,0.0
13,1624876622.7901533,22953984,-0.002680667870057126,2.6780977065617623e-08,1.4833905895551045,0.0,0.0,0.0,0.0,0.0,0.0,5573.6665763942165,0.0,0.0,0.0
14,1624876907.989329,24592384,-0.0033688254576797285,3.721279485298841e-07,1.545299584666888,0.0,0.0,0.0,0.0,0.0,0.0,5645.1986970636,0.0,0.0,0.0
15,1624878067.9150307,24985600,-0.0029681458011812842,1.2463991202101474e-07,1.5604202449321747,0.0,0.0,0.0,0.0,0.0,0.0,17527.74976651445,0.0,0.0,0.0
