# _tick,_time,step,pg_loss,value_loss,dist_entropy,train:mean_episode_return,train:median_episode_return,test:mean_episode_return,test:median_episode_return,train_eval:mean_episode_return,train_eval:median_episode_return,sps,train:success_rate,train_eval:success_rate,test:success_rate
0,1624903932.286391,16384,-0.0009739406135243674,0.7905720372994741,1.9449837605158489,0.540375,0.803125,0.2795,0.08375,0.14037499,0.0,6371.424247009897,0.6,0.2,0.5
1,1624904207.9913023,1654784,-0.0017376735243791093,0.3562760079900424,1.7104531526565552,0.1595,0.0,0.133625,0.0,0.26275,0.0,5970.629248415286,0.2,0.4,0.2
2,1624904479.774815,3293184,-0.0019021663756575435,0.3911115887264411,1.7047691742579143,0.069625005,0.0,0.2145,0.0,0.25275,0.0,6036.784228624928,0.1,0.3,0.3
3,1624904749.1844168,4931584,-0.0025766721228137612,0.31791985283295315,1.771615336338679,0.15825,0.0,0.2325,0.0,0.1965,0.0,6093.821520628358,0.3,0.3,0.3
4,1624905025.6189291,6569984,-0.003710264980327338,0.39545955012242,1.7291400134563446,0.23687501,0.0,0.343625,0.066875,0.17300001,0.0,6041.862057444926,0.4,0.2,0.5
5,1624905304.974939,8208384,-0.0021990632715945444,0.3339278393735488,1.7176551520824432,0.486375,0.66812503,0.038125,0.0,0.36937502,0.48250002,5905.1419892718595,0.6,0.6,0.1
6,1624905571.8176363,9846784,-0.006074481507918487,0.23873670088748136,1.7677307029565175,0.2685,0.0,0.051625002,0.0,0.31212503,0.185,5911.9166314377935,0.3,0.5,0.1
7,1624905840.7274127,11485184,-0.0028539651539176702,0.3543626479804516,1.7407168994347255,0.50212497,0.71875,0.098875,0.0,0.23025,0.0,6097.653346442923,0.6,0.3,0.1
8,1624906114.7724588,13123584,-0.00438649868980671,0.2526688997944196,1.7561593254407246,0.46275002,0.60625,0.078625,0.0,0.36612502,0.280625,6052.07654595758,0.6,0.5,0.1
9,1624906390.608709,14761984,-0.0037956413289066404,0.19261084434886774,1.721496691306432,0.61337495,0.83687496,0.23575,0.0,0.28737503,0.19625,5904.395822155759,0.7,0.5,0.4
10,1624906679.6182966,16400384,-0.0045449084136635065,0.25779268331825733,1.734620824456215,0.16849999,0.0,0.147125,0.0,0.55724996,0.88187504,5847.735347337387,0.2,0.6,0.2
11,1624906971.812828,18038784,-0.004399783075011025,0.19258205282191435,1.7362853586673737,0.374125,0.0,0.078625,0.0,0.43812498,0.39875,5645.066514689657,0.4,0.5,0.1
12,1624907261.0672522,19677184,-0.004696787160355598,0.3771830387413502,1.7359066555897396,0.24375,0.0,0.0,0.0,0.50325,0.69062495,5643.051803202271,0.3,0.6,0.0
13,1624907554.0931711,21315584,-0.005376681452617049,0.14327007345855236,1.7232873092095058,0.564,0.87625,0.162875,0.0,0.305375,0.2075,5646.288189030694,0.6,0.5,0.2
14,1624907848.3453164,22953984,-0.0032744769511433938,0.1384039456024766,1.7042442311843236,0.331375,0.0,0.215625,0.0,0.55724996,0.893125,5539.627382774309,0.4,0.6,0.3
15,1624908151.1002107,24592384,-0.0020964088228841624,0.1353941016520063,1.697515403230985,0.375125,0.2075,0.074125,0.0,0.4145,0.33125,5528.759818396516,0.5,0.5,0.1
16,1624908456.668751,26230784,-0.0047383095176580054,0.10380582759777705,1.70891738931338,0.273,0.0,0.14375,0.0,0.24937502,0.0,5379.017289912596,0.3,0.3,0.2
17,1624908744.2293203,27869184,-0.0033912984266256294,0.14264497812837362,1.6529238025347393,0.738125,0.8875,0.0775,0.0,0.47525,0.455,5316.869687351637,0.8,0.5,0.1
18,1624909043.5706847,29507584,-0.005192777908329542,0.18029297702014446,1.6444547772407532,0.53925,0.814375,0.09325,0.0,0.579625,0.69062495,5644.986615126633,0.6,0.7,0.1
19,1624909335.5402951,31145984,-0.004108471272047609,0.09961855504661798,1.6219105770190556,0.67962503,0.848125,0.16062501,0.0,0.27862498,0.0,5434.552260861052,0.8,0.3,0.2
20,1624909635.740505,32784384,-0.00344841838038216,0.14748311260094246,1.6074550102154415,0.72912496,0.904375,0.07975,0.0,0.567375,0.904375,5513.940038545937,0.8,0.6,0.1
21,1624909937.7785966,34422784,-0.006400761446760346,0.15042767177025476,1.5765169511238735,0.67174995,0.870625,0.0,0.0,0.449375,0.359375,5407.477925897965,0.8,0.5,0.0
22,1624910241.3103778,36061184,-0.004417819514249762,0.1438668935249249,1.5618821680545807,0.59424996,0.82,0.119,0.0,0.584125,0.870625,5388.013122458196,0.7,0.7,0.2
23,1624910561.8970847,37699584,-0.0064633611861305935,0.12066259048879147,1.5398072401682537,0.631375,0.859375,0.1145,0.0,0.624625,0.848125,5318.1084828182065,0.7,0.7,0.2
24,1624910871.1778438,39337984,-0.0004795042526287337,0.1707250357915958,1.5183769017457962,0.46512502,0.44375,0.0,0.0,0.735875,0.915625,5070.865304048286,0.5,0.8,0.0
25,1624911186.5114465,40976384,-0.0033904538528683283,0.0552763311813275,1.5186066975196202,0.68075,0.780625,0.059375,0.0,0.2595,0.0,5256.619912165306,0.8,0.3,0.2
