# _tick,_time,step,pg_loss,value_loss,dist_entropy,train:mean_episode_return,train:median_episode_return,test:mean_episode_return,test:median_episode_return,train_eval:mean_episode_return,train_eval:median_episode_return,sps,train:success_rate,train_eval:success_rate,test:success_rate
0,1624904540.3439472,1654784,-0.0011453781044110656,0.026594976040845115,1.8243666589260101,0.014591837,0.0,0.021709185,0.0,0.0,0.0,7762.926631315568,0.1,0.0,0.1
1,1624904778.3985915,3293184,-0.0006746570579707623,0.0278057999870119,1.8275263210137684,0.0,0.0,0.0,0.0,0.0,0.0,6920.177426856246,0.0,0.0,0.0
2,1624905009.9050767,4931584,-0.0015814830549061298,0.07560546820362408,1.7765321185191472,0.025841838,0.0,0.0,0.0,0.0,0.0,7024.40845963902,0.1,0.0,0.0
3,1624905238.02041,6569984,-0.0009809302670570712,0.01566590244571368,1.7413469006617863,0.0,0.0,0.0,0.0,0.0,0.0,7182.975792559285,0.0,0.0,0.0
4,1624905459.8881028,8208384,-0.0032269885026228926,0.015281635918654501,1.8287334541479747,0.0,0.0,0.0,0.0,0.026760202,0.0,7154.978234799362,0.0,0.1,0.0
5,1624905682.0452235,9846784,-0.0029343056764143207,0.13515108978996673,1.7175679604212444,0.06303571,0.0,0.057525508,0.0,0.15994897,0.0,7388.111805982453,0.1,0.3,0.1
6,1624905899.6363246,11485184,-0.0032491154658297696,0.24923346005380154,1.4076800644397736,0.2502041,0.056887753,0.37627548,0.4340561,0.38326532,0.38813776,7358.275642985179,0.5,0.6,0.7
7,1624906118.1921957,13123584,-0.0011940854795587559,0.05032639438286424,1.1392867714166641,0.61727035,0.70612246,0.6339031,0.70612246,0.65928566,0.66594386,7312.324403460417,1.0,1.0,0.9
8,1624906363.4666944,14761984,-0.0022276476956903934,0.003173340781359002,0.5328350439667702,0.9028826,0.90816325,0.8643112,0.8668368,0.8870408,0.88290817,6602.429187135344,1.0,1.0,1.0
9,1624906629.106326,16400384,0.002837895454528431,0.029113916369775932,0.2546922868738572,0.9210204,0.9253826,0.80265313,0.9024235,0.91436225,0.91619897,6162.267349716154,1.0,1.0,0.9
10,1624906915.3102794,18038784,-0.006078714776473741,0.049683525498646,0.1902413864930471,0.928597,0.9345664,0.74145406,0.9242347,0.91390306,0.9219388,5932.474538338217,1.0,1.0,0.8
11,1624907202.0451996,19677184,0.0001720174914225936,0.06910222815349698,0.1705207129319509,0.92308676,0.9242347,0.808852,0.9207908,0.92698985,0.9322704,5673.61311171532,1.0,1.0,0.9
12,1624907474.8519716,21315584,-0.0011233508315247793,0.15394341573119164,0.35191485409935314,0.9244642,0.92308676,0.91642857,0.9265306,0.838699,0.9311224,6036.73337215234,1.0,0.9,1.0
13,1624907745.8675418,22953984,-0.0005761670569578806,0.01909824468505879,0.23871158373852572,0.9327296,0.9288265,0.7934694,0.8875,0.93571436,0.94145405,5766.92316555381,1.0,1.0,0.9
14,1624908016.0060663,24592384,-0.00040176041269054014,0.010371686037008962,0.22435423048834005,0.92698985,0.9265306,0.9042603,0.90586734,0.926301,0.92308676,6105.625762514998,1.0,1.0,1.0
15,1624908293.003793,26230784,-0.002689072377203653,0.04420433759999772,0.20318492936591306,0.94122446,0.94145405,0.73433673,0.9070153,0.8366326,0.9288265,5997.112778395148,1.0,0.9,0.8
16,1624908563.106501,27869184,-0.0023918721514443555,0.15375129505991936,0.2778799856702487,0.9228571,0.9288266,0.72147954,0.90586734,0.9217092,0.9265306,6034.147353417018,1.0,1.0,0.8
17,1624908837.9702408,29507584,-0.00034142380657916266,0.030333334347233176,0.1859040092676878,0.9035714,0.9334184,0.74548465,0.88635206,0.8962245,0.9207908,5979.640165970875,1.0,1.0,0.9
18,1624909109.4661798,31145984,-0.002516840623381237,0.06622730816404025,0.28307004024585086,0.8656887,0.9322704,0.9210204,0.9276786,0.93043363,0.93686223,5951.587607833106,1.0,1.0,1.0
19,1624909391.6339815,32784384,5.4586989184220634e-05,0.04274007142521441,0.17824892265101275,0.934796,0.9380102,0.8606378,0.9276786,0.93617356,0.93686223,5819.116402019895,1.0,1.0,1.0
20,1624909664.867345,34422784,0.0011134104473361124,0.04214019809539119,0.16526727502544722,0.9393878,0.9391582,0.90977037,0.9253826,0.92905605,0.9322704,5919.31257085312,1.0,1.0,1.0
21,1624909925.1414773,36061184,-0.0008683495592170706,0.061445151610920824,0.20461228986581168,0.92905605,0.9265306,0.92813766,0.9311224,0.9253826,0.9322704,6281.51465548908,1.0,1.0,1.0
22,1624910194.13542,37699584,-0.003678558840571592,0.08877662584806482,0.18648913502693176,0.9409949,0.94145405,0.7288265,0.91160715,0.9318112,0.9380102,6133.770958594879,1.0,1.0,0.8
