# _tick,_time,step,pg_loss,value_loss,dist_entropy,train:mean_episode_return,train:median_episode_return,test:mean_episode_return,test:median_episode_return,train_eval:mean_episode_return,train_eval:median_episode_return,sps,train:success_rate,train_eval:success_rate,test:success_rate
0,1624904636.5296934,1654784,-0.0023370968313732496,0.00012732998735979587,1.8140837500492732,0.0,0.0,0.0,0.0,0.0,0.0,7681.804111143135,0.0,0.0,0.0
1,1624904883.8977873,3293184,-0.0020636325546850762,0.00013744699784486633,1.7991301814715068,0.0,0.0,0.0,0.0,0.0,0.0,6653.336096108636,0.0,0.0,0.0
2,1624905127.5324035,4931584,-0.002727292119137322,4.483413734609106e-05,1.7420483579238255,0.0,0.0,0.0,0.0,0.0,0.0,6741.514513678701,0.0,0.0,0.0
3,1624905367.9198482,6569984,-0.002827165648341179,0.00018964513340809694,1.7479670196771622,0.0,0.0,0.0,0.0,0.0,0.0,6845.890805454659,0.0,0.0,0.0
4,1624905604.8808346,8208384,-0.0012206003690759342,0.025379191696022946,1.8226626366376877,0.0690051,0.0,0.0,0.0,0.032729592,0.0,6892.151860197093,0.1,0.1,0.0
5,1624905841.0139883,9846784,-0.0006211897222480426,0.05266873794607818,1.7458292941252391,0.0,0.0,0.08369898,0.0,0.0,0.0,6926.779154143018,0.0,0.0,0.1
6,1624906076.7031686,11485184,-0.0017986746776538591,0.11825701563308637,1.8297397593657176,0.012984695,0.0,0.0,0.0,0.0,0.0,6944.677246981027,0.1,0.0,0.0
7,1624906314.6050532,13123584,-0.0027188691116559007,0.07976195278267066,1.8337612450122833,0.052244894,0.0,0.0,0.0,0.0,0.0,6913.149884615312,0.1,0.0,0.0
8,1624906551.8042974,14761984,-0.0017601309130744387,0.025861270648116868,1.8363720774650574,0.0,0.0,0.0,0.0,0.0,0.0,6866.080310105141,0.0,0.0,0.0
9,1624906790.0583405,16400384,-0.0025967495263709375,0.10417082874725263,1.8200783381859462,0.22079082,0.0,0.071887754,0.0,0.11058674,0.0,6896.0444523383585,0.3,0.3,0.2
10,1624907033.601425,18038784,-0.003272846690379083,0.017272095933246117,1.8256334861119587,0.068316326,0.0,0.0,0.0,0.26683673,0.0,6679.960890073415,0.1,0.4,0.0
11,1624907262.754798,19677184,-0.0028355413620981076,0.1927000011006991,1.6485689630111058,0.26316327,0.0,0.11068878,0.0,0.056147955,0.0,6888.93607617762,0.4,0.1,0.2
12,1624907487.4072354,21315584,-0.004007929062936455,0.44437887892127037,1.404748573899269,0.4364286,0.5442602,0.3917857,0.49260205,0.30025512,0.15790816,7086.920571754211,0.7,0.5,0.8
13,1624907728.229781,22953984,-0.0028025477464931705,0.23159568446377912,1.3955518851677577,0.4839796,0.46619898,0.26512754,0.14528061,0.6827041,0.717602,7211.338478712368,0.9,1.0,0.5
14,1624907968.6849492,24592384,-0.0032789288476730385,0.06816662506510814,1.1606256713469822,0.81977046,0.8542092,0.5596174,0.66020405,0.76260203,0.79566324,6703.654238074097,1.0,1.0,0.8
15,1624908220.5685601,26230784,-0.004138219926971942,0.005372865067329258,0.6621216684579849,0.8427297,0.84272957,0.861097,0.8725765,0.8645409,0.86798465,6394.672962968163,1.0,1.0,1.0
16,1624908496.2315638,27869184,-0.004786360737246771,0.0020156193301469707,0.38349376370509464,0.89438784,0.8989796,0.7321684,0.87372446,0.9005867,0.9070153,5985.411891302673,1.0,1.0,0.9
17,1624908775.1634777,29507584,-0.003820870459700624,0.001775517991821592,0.292980903138717,0.90426016,0.9024235,0.8780867,0.86913264,0.9136735,0.9219388,5821.551704140497,1.0,1.0,1.0
18,1624909061.0766528,31145984,-0.0029891764667506018,0.0016720791172701865,0.28900086507201195,0.88589287,0.91045916,0.86247444,0.8897959,0.9017347,0.9081633,5776.668160758043,1.0,1.0,1.0
19,1624909343.131559,32784384,-0.0023937197014068565,0.015945069181422394,0.293379961202542,0.90724486,0.90816325,0.8028827,0.9024235,0.9118366,0.91390306,5803.018820501096,1.0,1.0,0.9
20,1624909628.518102,34422784,-0.0023989869514480233,0.004073808338337888,0.26454102620482445,0.9219388,0.91964287,0.7901531,0.8484694,0.9040306,0.90816325,5704.19467941171,1.0,1.0,1.0
